LogisticRegression,GRAPE,n_genes
0.6193265007320644,0.5622254610061646,100
0.6120058565153733,0.5959004163742065,150
0.6207906295754027,0.6017569303512573,200
0.6076134699853587,0.6222547292709351,250
0.6193265007320644,0.6325036883354187,300
0.6339677891654466,0.6325036883354187,350
0.6515373352855052,0.6412884593009949,400
0.6427525622254758,0.6193264722824097,450
0.6325036603221084,0.6222547292709351,500
0.6134699853587116,0.6427525877952576,550
0.6339677891654466,0.6354319453239441,600
0.6281112737920937,0.6134699583053589,650
0.6339677891654466,0.6412884593009949,700
0.6339677891654466,0.6325036883354187,750
0.6266471449487555,0.6705710291862488,800
0.6325036603221084,0.6281113028526306,850
0.6207906295754027,0.6237188577651978,900
0.6325036603221084,0.5944362878799438,950
0.6310395314787701,0.5739384889602661,1000
0.6412884333821376,0.6149340867996216,1050
0.6471449487554904,0.664714515209198,1100
0.6354319180087847,0.6515373587608337,1150
0.6427525622254758,0.6588580012321472,1200
0.6442166910688141,0.6134699583053589,1250
0.6427525622254758,0.6339678168296814,1300
0.6310395314787701,0.6325036883354187,1350
0.6281112737920937,0.6134699583053589,1400
0.6193265007320644,0.6471449732780457,1450
0.636896046852123,0.6207906007766724,1500
0.6339677891654466,0.6368960738182068,1550
0.6295754026354319,0.6544656157493591,1600
0.6281112737920937,0.6676427721977234,1650
0.6325036603221084,0.6237188577651978,1700
0.6398243045387995,0.6427525877952576,1750
0.6442166910688141,0.6530014872550964,1800
0.6383601756954612,0.6281113028526306,1850
0.6325036603221084,0.6325036883354187,1900
0.6295754026354319,0.5929721593856812,1950
0.6310395314787701,0.4875549077987671,2000
0.6295754026354319,0.5783308744430542,2050
0.6222547584187409,0.60322105884552,2100
0.623718887262079,0.6090775728225708,2150
0.6354319180087847,0.5051244497299194,2200
0.6281112737920937,0.6120058298110962,2250
0.6339677891654466,0.5754026174545288,2300
0.6412884333821376,0.3879941403865814,2350
0.6339677891654466,0.5944362878799438,2400
0.6456808199121523,0.550512433052063,2450
0.6486090775988287,0.5739384889602661,2500
0.6456808199121523,0.6017569303512573,2550
0.6486090775988287,0.5944362878799438,2600
0.6471449487554904,0.6412884593009949,2650
0.6500732064421669,0.5592972040176392,2700
0.6442166910688141,0.5768667459487915,2750
0.6471449487554904,0.5973645448684692,2800
0.6486090775988287,0.6046851873397827,2850
0.6500732064421669,0.6134699583053589,2900
0.6412884333821376,0.6061493158340454,2950
0.6500732064421669,0.6354319453239441,3000
0.6471449487554904,0.6046851873397827,3050
0.6427525622254758,0.6398243308067322,3100
0.6471449487554904,0.5988286733627319,3150
0.636896046852123,0.6383602023124695,3200
0.6486090775988287,0.5549048185348511,3250
0.6471449487554904,0.5183016061782837,3300
0.6500732064421669,0.60322105884552,3350
